MS8607 Demo with MUX control for TE Arduino Weathershield
Temperature , Pressure, Humidity 
27.10, 853.09, 22.33 
27.09, 852.84, 22.33 
27.07, 852.81, 22.32 
27.10, 853.09, 22.28 
27.09, 853.06, 22.29 
27.09, 853.06, 22.46 
27.09, 852.84, 22.39 
27.12, 852.90, 22.33 
27.10, 852.87, 22.32 
27.13, 852.93, 22.29 
27.10, 852.66, 22.26 
27.13, 852.93, 22.28 
27.15, 852.96, 22.28 
27.15, 852.75, 22.24 
27.18, 852.81, 22.19 
27.18, 852.81, 22.32 
27.20, 853.05, 22.21 
27.20, 852.84, 22.13 
27.18, 852.81, 22.10 
27.18, 853.02, 22.07 
27.18, 852.81, 22.08 
27.20, 852.84, 22.09 
27.21, 853.08, 22.06 
27.18, 853.02, 22.05 
27.20, 852.84, 22.02 
27.20, 852.84, 22.00 
27.21, 852.87, 22.01 
27.21, 852.87, 22.04 
27.20, 852.84, 22.07 
27.20, 852.84, 22.08 
27.18, 853.02, 22.07 
27.18, 852.81, 22.07 
27.17, 852.78, 22.12 
27.17, 852.99, 22.17 
27.17, 852.78, 22.13 
27.15, 852.75, 22.14 
27.15, 852.96, 22.10 
27.15, 852.96, 22.12 
27.15, 852.96, 22.10 
27.17, 852.78, 22.07 
27.15, 852.96, 22.10 
27.13, 853.15, 22.09 
27.13, 852.93, 22.10 
27.12, 852.90, 22.22 
27.12, 852.90, 22.17 
27.12, 852.90, 22.18 
27.12, 852.90, 22.21 
27.10, 853.09, 22.22 
27.07, 853.03, 22.26 
27.05, 853.00, 22.26 
27.05, 852.78, 22.30 
27.04, 852.97, 22.32 
27.04, 852.97, 22.35 
27.04, 852.97, 22.34 
27.02, 852.94, 22.34 
27.04, 852.97, 22.36 
27.02, 852.72, 22.40 
27.02, 852.72, 22.35 
27.04, 852.97, 22.32 
27.02, 852.94, 22.34 
27.04, 853.18, 22.36 
27.01, 852.91, 22.39 
27.01, 852.69, 22.42 
27.02, 852.94, 22.38 
27.02, 852.94, 22.31 
27.02, 852.94, 22.32 
27.01, 852.91, 22.37 
27.01, 852.91, 22.36 
26.99, 852.88, 22.41 
26.97, 852.85, 22.37 
26.97, 853.06, 22.35 
26.99, 852.66, 22.35 
26.97, 853.06, 22.38 
26.99, 852.88, 22.37 
26.99, 852.88, 22.35 
26.97, 852.85, 22.35 
26.97, 852.85, 22.37 
26.96, 853.03, 22.41 
26.97, 852.85, 22.47 
26.94, 852.79, 22.46 
26.96, 852.82, 22.48 
26.94, 853.00, 22.48 
26.94, 852.79, 22.52 
26.94, 853.00, 22.50 
26.94, 853.00, 22.47 
26.93, 852.76, 22.43 
26.96, 852.82, 22.42 
26.96, 852.82, 22.41 
26.96, 852.82, 22.45 
26.94, 853.00, 22.51 
26.94, 853.00, 22.48 
26.94, 853.00, 22.48 
26.94, 853.00, 22.44 
26.93, 852.97, 22.42 
26.93, 852.97, 22.48 
26.93, 852.97, 22.48 
26.93, 852.97, 22.43 
26.94, 853.22, 22.48 
26.96, 853.25, 22.50 
26.94, 853.22, 22.51 
26.96, 853.03, 22.51 
26.99, 853.09, 22.50 
